endpoint,channel,prepulse_ticks,int_low,int_up,postpulse_ticks,Gain,SpeAmpl
106,32,250,250,600,600,3482.9,20
106,33,250,250,600,600,1893.97,8
106,30,250,250,600,600,2148.87,10
106,31,250,250,600,600,4332.16,15
106,34,250,250,600,600,2063.53,10
106,35,250,250,600,600,2000,12
106,36,250,250,600,600,2257.92,12
106,37,250,250,600,600,2530.51,12
106,0,250,250,600,600,5225.09,18
106,2,250,250,600,600,5185.5,20
106,1,250,250,600,600,2426.86,12.5
106,3,250,250,600,600,2685.4,12
106,5,250,250,600,600,3831.38,20
106,7,250,250,600,600,3567.7,18
106,4,250,250,600,600,1526.98,10
106,6,250,250,600,600,1258.39,8
107,47,250,250,600,600,1000,10
107,45,250,250,600,600,1000,10
107,40,250,250,600,600,1000,10
107,42,250,250,600,600,1000,10
107,46,250,250,600,600,3147.79,16
107,44,250,250,600,600,3278.53,16
107,43,250,250,600,600,1380.77,16
107,41,250,250,600,600,2205.66,16
107,7,250,250,600,600,4364.88,10
107,0,250,250,600,600,4221.51,10
107,27,250,250,600,600,3058.11,10
107,20,250,250,600,600,3009.3,10
107,37,250,250,600,600,2634.38,10
107,30,250,250,600,600,2557.6,10
107,17,250,250,600,600,3771.75,10
107,10,250,250,600,600,3723.89,10
